A    
a     art.一(个)；每一(个)
metamorphose     [,metə'mɔ:fəuz] v.变形
metaphor     ['metəfə] n.隐喻，暗喻
metaphysical     [,metə'fizikəl] a.形而上学的，玄学的
metaphysics     [,metə'fiziks] n.形而上学，玄学
mete     [mi:t] v.给予，分配；测量；n.边界
meteoric     [,mi:ti'ɔrik] a.流星的；昙花一现的，短暂的
meteorology     [,mi:tjə'rɔlədʒi] n.气象学
meter     [ˈmiːtə] n.计量器，计，表
method     [ˈmeθəd] n.方法，办法；教学法
methodical     [mi'θɔdik(ə)l] a.按次序的，有条不紊的；(人)做事有条理的
meticulous     [mi'tikjuləs] a.细心的，极注意细节的，一丝不苟的
metre     [ˈmiːtə] n.米，公尺
metric     [ˈmetrik] a.公制的，米制的
metrical     ['metrik(ə)l] a.测量的；韵律的，诗体的
metropolis     [mi'trɔpəlis] n.大城市
metropolitan     [metrə'pɔlit(ə)n] a.大都市的，首都的
mettle     ['met(ə)l] n.勇气，斗志
mettlesome     ['met(ə)lsəm] a.(褒)精神抖擞的，有斗志的
miasma     [mi'æzmə] n. 瘴气；不健康的环境或影响
microbe     ['maikrəub] n.微生物
microcomputer     [ˈmaikrəukəmpjuːtə(r)] n.微型计算机，微机
microorganism     [maikrəu'ɔ:ɡəniz(ə)m] n.微生物，细菌
microphone     [ˈmaikrəfəun] n.话筒，麦克风
microscope     [ˈmaikrəskəup] n.显微镜
microscopic     [maikrə'skɔpik] a.极小的；显微镜的
midday     [ˈmiddei] n.正午，中午
middle     [ˈmidl] n.中部 a.中部的
midget     ['midʒit] n. 侏儒
midnight     [ˈmidˌnait] n.午夜，子夜，夜半
midst     [ˈmidst] n.中部，中间，当中
mien     [mi:n] n. 风采，态度
miff     [mif] n.小争吵
might     [mait] v.aux.可能，会，也许
mighty     ['maiti] a.强有力的，强大的
migrant     n.候鸟,移居者
migrate     vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙;vt.使移居,使移植
migratory     ['maiɡrətəri] a.迁移的，流浪的
mild     [maild] a.和缓的；温柔的
mile     [mail] n.英里
milestone     ['mailstəun] n.里程碑；转折点
militant     ['militənt] a. 好战的，好暴力的
military     [ˈmilitəri] a.军事的；军人的
militia     [mi'liʃə] n.民兵
milk     [milk] n.乳，牛奶 vt.挤(奶)
mill     [mil] n.磨坊；制造厂
millennium     [mi'leniəm] n. 一千年；(未来的)太平盛世
millimeter     ['mili,mi:tə] n.(millimetre)毫米
millimetre     [ˈmiliˌmiːtə(r)] n.毫米
million     [ˈmiljən] num.百万 n.许多
millionaire     n.百万富翁,大富豪
mime     [maim] n.哑剧表演；哑剧(演员)
mimic     ['mimik] v.戏弄性模仿；n.善于模仿他人言行的人
minaret     ['minəret] n.清真寺的尖塔(伊斯兰教宣礼塔)
minatory     ['minətəri] a.威胁的，恫吓的
mince     [mins] v.切碎；（贬）装腔作势地小步走路
mind     [maind] n.头脑；理智；记忆
mine     [main] pron.我的
miner     [ˈmainə] n.矿工
mineral     ['minərəl] n.矿物,矿石 a.矿物的,矿质的
mingle     ['miŋɡl] v.混合
miniature     ['minjətʃə] n.小画像；缩影，小比例
minibus     n.中客车,小型公共汽车(我国俗称面包车,乘员10人左右)
minimal     adj.最小的,最小限度的
minimize     ['minimaiz] v.把„减至最低数量或程度
minimum     [ˈminiməm] n.最小量 a.最小的
minion     ['minjən] n.奴才，低下之人
minister     [ˈministə] n.部长，大臣；公使
ministry     [ˈministri] n.(政府的)部
minnow     ['minəu] n.鲦鱼，小淡水鱼
minor     [ˈmainə] a.较小的；较次要的
minority     [maiˈnɔriti] n.少数；少数民族
mint     [mint] n.大量；巨额；造币厂；薄荷(糖)
minuet     [,minju'et] n.小步舞
minus     [ˈmainəs] a.负的 prep.减(去)
minuscule     [mi'nʌskju:l] a.极小的
minute     [ˈminit] n.分，分钟；一会儿
minutes     [mai'nju:t] n.会议记录
minutia     [mai'nju:ʃiə] n.细枝末节，细节
miracle     [ˈmirəkl] n.奇迹，令人惊奇的人
miraculous     [mi'rækjuləs] a. 奇迹的，不可思议的
mirage     ['mirɑ:ʒ] n.幻影，海市蜃楼
mire     ['maiə] n.泥沼；困境；v.使„陷入困境
mirror     [ˈmirə] n.镜子 vt.反映，反射
mirth     [mə:θ] n.欢乐，欢笑
misanthrope     ['misənθrəup] n.愤世嫉俗者
miscellany     [mi'seləni] n. 混合物
mischief     ['mistʃif] n.损害,伤害,危害;恶作剧,胡闹;灾祸
mischievous     ['mistʃivəs] a.淘气的，顽皮的，爱胡闹的；有害处的
miscreant     ['miskriənt] n.恶棍，歹徒
miser     ['maizə] n.守财奴，吝啬鬼
miserable     [ˈmizərəbl] a.痛苦的，悲惨的
miserly     ['maizəli] a.吝啬的，贪婪的
misery     n.痛苦,苦恼,悲惨,不幸,穷困
misfortune     n.不幸,灾祸
misgiving     [mis'ɡiviŋ] n.担心，疑虑
misinform     ['misin'fɔ:m] v.向„提供错误信息
mislead     [misˈliːd] vt.使误入岐途
misnomer     ['mis'nəumə] n.名字的误用
misperceive     [,mispə'si:v] v.误解
misrepresent     ['mis,repri'zent] v.误传，歪曲
miss     [mis] n.小姐
misshapen     [mis'ʃeipən] a.畸形的，奇形怪状的
missile     [ˈmisail] n.发射物；导弹
missing     [ˈmisiŋ] a.缺掉的，失去的
mission     [ˈmi∫ən] n.使命，任务；使团
missionary     adj.传教的,传教士的;n.传教士
missive     ['misiv] n. 信件；(尤指)公函
mist     [mist] n.薄雾
mistake     [misˈteik] n.错误 vi.误解，弄错
Mister     [ˈmistə] n.先生
mistimed     [ˌmisˈtaimd] a. 不合时机的
mistral     ['mistrəl] n. 寒冷干燥的强风
mistress     [ˈmistris] n.女主人；夫人
misunderstand     [ˈmisʌndəˈstænd] vt.误解/会,曲解
mite     [mait] n.极小量；小虫，螨虫
mitigate     ['mitiɡeit] v.减轻，缓和
mitten     ['mitn] n.(四指套在一起拇指分开的)连指手套
mix     [miks] vt.使混合，混淆
mixture     [ˈmikst∫ə] n.混合；混合物
mnemonics     [ni:'mɔniks] n.记忆法，记忆规则
moan     [məun] n.呻吟声 vi.呻吟
moat     [məut] n.壕沟；护城河
mob     n.(集合词)暴徒,乌合之众,(盗贼等的)一群;v.成群暴动,聚众滋扰
mobile     [ˈməubail] a.运动的；流动的
mobility     [məu'biliti] n.可动性，流动性
mobilize     v.动员
mock     [mɔk] v.嘲笑；模仿地嘲弄
mode     [məud] n.方式，样式
model     [ˈmɔdl] n.模型；模式；模特儿
moderate     [ˈmɔdərit] a.温和的；有节制的
modern     [ˈmɔdən] a.现代的，近代的
modernization     [,mɔdənai'zeiʃən] n.(modernisation)现代化
modest     [ˈmɔdist] a.有节制的；谦虚的
modicum     ['mɔdikəm] n.少量
modify     [ˈmɔdifai] vt.更改，修改；修饰
modish     ['məudiʃ] a.时髦的
modulate     ['mɔdjuleit] v.调整(音的强弱)
module     n.模数,模块,登月舱,指令舱
mogul     ['məuɡl] n.显要人物，权势之人
moist     [mɔist] a.湿润的；多雨的
moisture     [ˈmɔist∫ə] n.潮湿，湿气；温度
molar     ['məulə] n.臼齿(靠里面的用于咬硬物的大牙齿)
mold     [məuld] n.模子；(美)霉菌；v.塑造
molding     ['məuldiŋ] n.装饰线条；用模子制作的铸造物
moldy     ['məuldi] a.发霉的
molecule     [ˈmɔlikjuːl n.分子，克分子
molest     [məu'lest] v. 骚扰，干扰
mollify     ['mɔlifai] v.使息怒，使平静，安抚
mollycoddle     ['mɔlikɔdl] v.过分爱惜，娇惯；n.娇生惯养的人
molt     [məult] v.换羽，脱毛；n.换羽(期)，脱毛(期)
molten     ['məultən] v.熔化；a.熔化的
moment     [ˈməumənt] n.片刻，瞬间，时刻
momentous     [məu'mentəs] a.极重要的，严重的
momentum     [məu'mentəm] n.推进力，势头；(物)动量
monarch     ['mɔnək] n.君主，帝王
monarchy     ['mɔnəki] n.君主制
monastery     ['mɔnəstri] n. 男修道院，僧院
Monday     [ˈmʌndei] n.星期一
monetary     ['mʌnitəri] a.货币的
money     [ˈmʌni] n.货币；金钱，财富
mongrel     ['mʌŋɡrəl] n.杂种动物；混血儿
monitor     [ˈmɔnitə] n.班长；监视器
monkey     [mʌŋki] n.猴子，猿
monochromatic     ['mɔnəukrəu'mætik] a.单色的
monochrome     ['mɔnəukrəum] a.单色的，单色画的
monocle     ['mɔnɔkl] n.单片眼镜
monogamy     [mɔ'nɔɡəmi] n.一夫一妻制
monograph     ['mɔnəuɡrɑ:f] n. 专题论文
monolithic     [,mɔnə'liθik] a.整块巨石的；巨大的
monologue     ['mɔnəlɔɡ] n.(电影、戏剧中的)独白；个人长篇演说
monomania     [,mɔnəu'meinjə] n.偏狂症，狂热病(为单一想法、事物而狂热的病)
monopolize     [mə'nɔpəlaiz] v. 垄断，独占
monopoly     [mə'nɔpəli] n.专利权，垄断
monotone     ['mɔnəutəun] a. 单调的
monotonous     [mə'nɔtənəs] a.单调的，无聊的
monotony     [mə'nɔtəni] n.单调，千篇一律
monsoon     [mɔn'su:n] n.季雨，季风
monster     adj.道德(上)的,精神的;n.道德
monstrous     ['mɔnstrəs] a. 巨大的；可怕的
montage     [mɔn'tɑ:ʒ] n.蒙太奇(由许多部分组合而成的画面、影片、音乐或文字)；拼集画
month     [mʌnθ] n.月，月份
monthly     [ˈmʌnθli] a.每月的 ad.每月
monument     [ˈmɔnjumənt] n.纪念碑；纪念馆
monumental     [,mɔnju'mentl] a.极大的；纪念碑的
mood     [muːd] n.心情，情绪；语气
moody     ['mu:di] a. 喜怒无常的，脾气坏的
moon     [muːn] n.月球，月亮；卫星
moor     [muə] n. 旷野地，荒野；v. 使(船)停泊
mope     [məup] v./n. 抑郁不乐，生闷气
moral     [ˈmɔrəl] a.道德的；合乎道德的
morale     [mɔ'rɑ:l] n.士气，精神力量
moralistic     [mɔrə'listik] a.(贬)道学气的，道德说教的
morality     adj.道德的;n.道德
morass     [mə'ræs] n. 沼泽地；困境；v. 陷入困境
moratorium     [,mɔrə'tɔ:riəm] n.(经官方同意的)停止偿付；暂停活动
morbid     ['mɔ:bid] a.病态的，不正常的
mordant     ['mɔ:dənt] a.讥讽的，尖酸的
more     [mɔː(r)] a.更多的 ad.更
moreover     [mɔːˈrəuvə] ad.再者，加之，此外
mores     ['mɔ:ri:z] n.风俗习惯，道德观念
moribund     ['mɔ(:)ribʌnd] a.即将结束的；垂死的
morning     [ˈmɔːniŋ] n.早晨，上午
moron     ['mɔ:rɔn] n. 极蠢之人，低能儿
morose     [mə'rəus] a.阴郁的，闷闷不乐的
morsel     ['mɔ:səl] n.一小块(食物)；小量
mortal     [ˈmɔːtl] a.终有一死的；致死的
mortality     [mɔ:'tæliti] n.死亡率
mortar     ['mɔ:tə] n.乳钵；迫击炮
mortgage     ['mɔ:ɡidʒ] n.抵押贷款；抵押证书；v.用„作抵押
mortification     ['mɔ:tifi'keiʃən] n.耻辱，屈辱
mortify     ['mɔ:tifai] v.使屈辱，使痛心
mortuary     ['mɔ:tjuəri] n.停尸间，太平间
mosaic     [mɔ'zeiik] n.马赛克(把不同颜色的小块玻璃石头等镶嵌成图画)
mosque     [mɔsk] n.清真寺(伊斯兰教的寺庙)
mosquito     [məsˈkiːtəu] n.蚊子
moss     [mɔs] n.苔,藓,地衣
most     [məust] a.最多的 ad.最，很
mostly     [ˈməustli] ad.主要的，大部分
mote     [məut] n.微粒，微尘
motel     n.汽车旅馆
mother     [ˈmʌðə] n.母亲，妈妈
motif     [məu'ti:f] n.(作品)主题，主旨
motile     ['məutail] a. 能动的，有自动力的
motility     [məu'tiliti] n.运动性，游动性
motion     [ˈməu∫ən] n.运动；手势；提议
motivate     [ˈməutiveit] vt.促动；激励，激发
motive     [ˈməutiv] n.动机，目的
motley     ['mɔtli] a.混杂的；杂色的
motor     [ˈməutə] n.发动机；机动车
mottle     ['mɔtl] v. 使成杂色
mottled     ['mɔtld] a.有杂色的，斑驳的
motto     ['mɔtəu] n.座右铭；格言
mould     [məuld] n.模子，模型 vt.浇铸
mount     [maunt] vt.登上，爬上 n.…山
mountain     [ˈmauntin] n.山，山岳；山脉
mountainous     ['mauntinəs] a.多山的；巨大的
mountebank     ['mauntibæŋk] n. 江湖郎中，骗子
mourn     [mɔːn] vi.哀痛，哀悼
mournful     ['mɔ:nful] a.悲伤的
mouse     [maus] n.鼠，耗子
mouth     [mauθ] n.嘴，口，口腔
mouthful     [ˈmauθˌful] n.满口，一口，少量
move     [muːv] vt.移动；感动 n.动
movement     [ˈmuːvmənt] n.动作,活动;移动
movie     [ˈmuːvi] n.电影；电影院
much     [mʌt∫] ad.非常，很 a.许多的
muck     [mʌk] n. 堆肥，淤泥；v. 施肥；捣乱
mud     [mʌd] n.软泥，泥浆
muddle     ['mʌdl] n. 混乱，迷惑
muddy     [ˈmʌdi] a.多泥的，泥泞的
muffle     ['mʌfl] v.使声音降低；裹住
muffled     ['mʌfld] a.(声音)压低的
muffler     ['mʌflə] n.消音器；围巾
mug     [mʌg] n.大杯
muggy     ['mʌɡi] a. (天气)闷热而潮湿的
mulct     [mʌlkt] n. 罚金v. 处以罚金；诈取，诈骗
mulish     ['mju:liʃ] a.骡一样的，执拗的，顽固的
mull     [mʌl] v. 思考，思索；n. 混乱
multifarious     [,mʌlti'feəriəs] a. 多种的，各式各样的
multiple     [ˈmʌltipl] a.复合的；并联的
multiplicity     [,mʌlti'plisiti] n.多样性
multiply     [ˈmʌltipli] vt.使增加；乘
multitude     ['mʌltitju:d] n. 多数；大众，平民
mumble     ['mʌmbl] v.咕哝，含糊不清地说
munch     [mʌntʃ] v. 出声咀嚼
mundane     ['mʌndein] a.平凡的，世俗的
municipal     adj.市政的,市立的,地方性的,地方自治的
municipality     [mju:,nisi'pæliti] n.自治市；市政当局(指城市行政区及管理者)
munificence     [mju:'nifisəns] n.慷慨，礼物的丰厚
muniments     ['mju:nimənts] n. 契据，房契
munition     [mju:'niʃən] n.军火，弹药
mural     ['mjuərəl] a.墙壁的；n.(尤指大型)壁画
murder     [ˈməːdə] n.&vi.谋杀，凶杀
murderer     [ˈməːdərə(r)] n.杀人犯，凶手
murky     ['mə:ki] a.黑暗的；朦胧的
murmur     ['mə:mə] v.低声地说，喃喃而言
muscle     [ˈmʌsl] n.肌肉，肌；体力
muscular     ['mʌskjulə] a.肌肉的；强健的
muse     [mju:z] v.沉思，冥想
museum     [mju(ː)ˈziəm] n.博物馆；展览馆
mushroom     [ˈmʌ∫rum] n.蘑菇，菌类植物
music     [ˈmjuːzik] n.音乐，乐曲，乐谱
musical     [ˈmjuːzikəl] a.音乐的；和谐的
musician     [mjuːˈzi∫ən] n.音乐家；作曲家
musicologist     [,mju:zik'kɔlədʒist] n.音乐学者
musket     ['mʌskit] n.旧式步枪，毛瑟枪
musky     ['mʌski] a. 麝香的
must     [mʌst] v.aux.必须；必然要
muster     ['mʌstə] v.召集，聚集
musty     ['mʌsti] a. 发霉的，有霉臭的
mutate     [mju:'teit] v.（生）变异
mute     [mjuːt] a.缄默的 n.哑巴
muted     ['mju:tid] a.(声音)减弱的，变得轻柔的
mutilate     ['mju:tileit] v. 残害；切断(肢体)
mutineer     [,mju:ti'niə] n.反叛者，背叛者
mutinous     ['mju:tinəs] a. 叛变的；反抗的
mutter     [ˈmʌtə] vi.轻声低语；抱怨
mutton     [ˈmʌtn] n.羊肉
mutual     [ˈmjuːtjuəl] a.相互的；共同的
muzzy     ['mʌzi:] a. 头脑糊涂的
my     [mai] pron.我的
myopia     [mai'əupiə] n.(医)近视；缺乏远见
myopic     [mai'ɔpik] a.近视眼的；缺乏远见的
myriad     ['miriəd] a.极大量的，无数的
myself     [maiˈself] pron.我自己；我亲自
mysterious     [misˈtiəriəs] a.神秘的；难以理解的
mystery     [ˈmistəri] n.神秘；神秘的事物
mystic     ['mistik] a.(尤指宗教方面)神秘的，不可思议的；n.神秘主义者(寻求人神交融以求人类不解之真理者)
myth     n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法
N    
nadir     ['neidiə] n.最低点
nag     [næɡ] v.(贬)不断挑剔或批评某人；不断烦扰或伤害某人
nail     [neil] n.钉；指甲 vt.钉
naive     [nɑ:'i:v] a.天真的，纯朴的
naivety     [nɑ:'i:vti] n. 天真，纯朴，幼稚
naked     [ˈneikid] a.裸体的；无遮敝的
name     [neim] n.名字；名誉 vt.说出
namely     [ˈneimli] ad.即，也就是
nap     [næp] n.小睡，打盹，瞌睡
napkin     n.餐巾,餐巾纸,<英>尿布,<美>月经带
narcissism     ['nɑ: sisizəm] n.自恋，自爱，自我陶醉
narcissist     ['nɑ:sisist] n.自负的人，自恋者
narcotic     [nɑ:'kɔtik] n.催眠或麻醉药；a.催眠的，麻醉的
narrative     ['nerətiv] a.叙述的，讲故事的
narrow     [ˈnærəu] a.狭的，狭窄的
nasal     ['neizəl] a. 鼻的；有鼻音的
nascent     ['næsnt] a.初生的，萌芽的
nasty     [ˈnæsti] a.龌龊的；淫猥的
natal     ['neitəl] a.出生时的，诞生时的，先天的
natation     [nei'teiʃən] n. 游泳，游泳术
nation     [ˈnei∫(ə)n] n.民族；国家
national     [ˈnæ∫ənəl] a.民族的；国家的
nationality     [ˌnæ∫əˈnæliti] n.国籍；民族，族
native     [ˈneitiv] a.本土的 n.本地人
natty     ['næti] a.整洁漂亮的；灵巧聪明的
natural     [ˈnæt∫ərəl] a.自然界的；天然的
naturally     [ˈnæt∫ərəli] ad.自然地；天然地
nature     [ˈneit∫ə] n.大自然；本性；性质
naughty     [ˈnɔːti] a.顽皮的，淘气的
nausea     ['nɔ:sjə] n.作呕，恶心
nauseate     ['nɔ:sieit] v.使作呕，使厌恶
nautical     ['nɔ:tikəl] a.船员的，航海的
naval     [ˈneivəl] n.海军的，军舰的
navigate     ['næviɡeit] v.航海，导航
navigation     [ˌnæviˈgei∫ən] n.航行;航海术;导航
navy     [ˈneivi] n.海军
naysay     ['neisei] v.拒绝，说不
naysayer     ['nei,seiə] n. 怀疑者，否定者
near     [niə] ad.近，接近 a.近的
nearby     [ˈniəbai] a.附近的 ad.在附近
nearly     [ˈniəli] ad.差不多；密切地
neat     [niːt] a.整洁的；熟练的
nebulous     ['nebjuləs] a.模糊不清的；云状的
necessarily     [nesiˈserili] ad.必然，必定
